Timestamp,Your Name,Class,Index Number,I am excited about the skills I learnt during CS,I feel confident in my technical skills,I know how to work through problems when I get stumped,Learning about technology is exciting,I wish I had more opportunities to learn technical skill,I would like to own a Microbit set for my own learning,I would consider using Microbit for my future school projects ,What was your favourite part of the course?,What was your least favourite part of the course?,What could be improved?,I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)
3/26/2018 9:00,Hidden,1G,Hidden,5,5,5,5,5,5,Yes,making games,nil,"everyone gets a free microbit
for the below qs: i want to yet i have another elective","Yes, But I have Third Lang or other electives"
3/26/2018 9:01,Hidden,1H,Hidden,3,1,2,2,5,3,No,ceaser cypher,the last test,discipline over class,No
3/26/2018 9:01,Hidden,1G,Hidden,5,4,4,5,4,5,Yes,getting to code ,it is a little bit confounding,increased time for doing coding,"Yes, But I have Third Lang or other electives"
3/26/2018 9:01,Hidden,1H,Hidden,3,4,4,4,4,3,Maybe,Loops and Logic,Radio signals,Please introduce us to more of the blocks that we are more likely not to understand.,Maybe
3/26/2018 9:09,Hidden,1H,Hidden,4,1,2,5,3,1,Maybe,When we were allowed to use the computers,when we had to do a project ,The fact that this is a course and not enrichment,Maybe
3/26/2018 10:31,Hidden,1C,Hidden,5,4,4,5,5,4,Yes,The programming and trial and error part of the coding that was fun and exciting.,NIL :^),It is very good and I think it is great at how it is now.,"Yes, But I have Third Lang or other electives"
3/26/2018 10:32,Hidden,1C,Hidden,5,1,3,5,1,1,Maybe,Everything,NIL,NIL,No
3/26/2018 10:32,Hidden,1D,Hidden,5,4,5,5,5,5,Yes,when we learnt the game for fighting and shooting aliens ,when the teacher was scolding and we wasted a lot of time,instilling more discipline in the class ,Yes
3/26/2018 10:32,Hidden,1D,Hidden,3,2,2,4,4,4,Maybe,The individual assignment,Remebring everything,Slow down the speed,"Yes, But I have Third Lang or other electives"
3/26/2018 10:33,Hidden,1D,Hidden,4,4,4,5,4,5,Yes,I like building games,The array lesson,The amount of time we have to explore the various functions of the microbit code.,Maybe
3/26/2018 10:33,Hidden,1D,Hidden,4,4,3,4,4,5,Maybe,na,na,na,Maybe
3/26/2018 10:33,Hidden,1D,Hidden,5,4,4,5,4,5,Yes,"It was fun and enjoyable, the activities we did with the micro-bit was very interactive and fun.",nothing,Maybe we get to learn more about the tinkers kit,Yes
3/26/2018 10:33,Hidden,1C,Hidden,5,3,3,5,5,5,Yes,Programming games on the Microbit,NIL I enjoyed everything about CS,NIL It is already great.,Yes
3/26/2018 10:34,Hidden,1C,Hidden,4,3,4,4,4,3,Yes,When we tried to decode a message.,Listening to the explanations.,Give us a Microbit,Maybe
3/26/2018 10:34,Hidden,1C,Hidden,3,2,1,2,3,4,Maybe,THE PART WHEN WE START PROGRAMMING,THE BRIEFING PART,NOTHING,Maybe
3/26/2018 10:36,Hidden,1D,Hidden,5,4,4,5,4,3,Maybe,Making fun programs with microbit.,Doing project.,Nothing,Maybe
3/26/2018 10:36,Hidden,1D,Hidden,3,3,2,4,3,3,Maybe,Posting a YouTube video,Using a real microbit,We could use a Raspberry Pi instead of a microbit as it is more powerful,Maybe
3/26/2018 10:36,Hidden,1C,Hidden,3,3,4,4,3,4,Yes,Caesar Cipher,Flappy Bird,The Programme(what we do),No
3/26/2018 10:36,Hidden,1D,Hidden,3,3,3,3,3,3,Maybe,Getting to programme.,"Start programming with Blocks instead of starting with Python. I mean, I feel that Blocks is too complex, should start with Python. Although need to type more code, but I'll get a better understanding of the whole thing.",Begin programming in Python rather than the complexity of Blocks.,"Yes, But I have Third Lang or other electives"
3/26/2018 10:36,Hidden,1c,Hidden,3,4,4,5,3,3,Maybe,making a game,flappy bird,what we do,Maybe
3/26/2018 10:37,Hidden,1D,Hidden,4,3,3,4,4,5,Maybe,Creating the Flappy Bird Game,NIL,NIL,Maybe
3/26/2018 10:37,Hidden,1D,Hidden,5,1,5,5,5,5,Maybe,getting points,summative,nothing,"Yes, But I have Third Lang or other electives"
3/26/2018 10:38,Hidden,1C,Hidden,5,4,4,4,5,3,Yes,"
   Learning how to programme games",doing homework,pay more attention by talking less,"Yes, But I have Third Lang or other electives"
3/26/2018 10:40,Hidden,1C,Hidden,4,3,4,5,4,3,Maybe,The summative when creating your own game or code,Learning about arrays,The glitch in the microbit,Maybe
3/26/2018 13:43,Hidden,1F,Hidden,5,4,3,5,3,3,Maybe,The fun activities.,NIL,The number of weeks in the course. Lengthen it please,Maybe
3/26/2018 13:43,Hidden,1F,Hidden,5,4,3,5,5,5,Maybe,programming,the arrays,maybe we could have more equipment to use with the micro bit,"Yes, But I have Third Lang or other electives"
3/26/2018 13:44,Hidden,1F,Hidden,4,2,5,4,4,1,Maybe,Lessons,Project,More time for projects  & lower targets.,No
3/26/2018 13:44,Hidden,1E,Hidden,3,2,3,4,4,3,Maybe,Making the code for the game,Arrays are quite complicated,More time for lessons,No
3/26/2018 13:44,Hidden,1E,Hidden,4,3,3,4,4,3,Maybe,Programming the shooting game,The individual microbit project,Can teach slower so that we can understand the codes ,No
3/26/2018 13:45,Hidden,1F,Hidden,5,5,5,5,4,5,Yes,Learning about microbits,doing the summative project,more time for projects,Maybe
3/26/2018 13:45,Hidden,1E,Hidden,3,3,3,3,3,4,Yes,The find the boat thing,the arrays part,Let us play with the microbit longer,No
3/26/2018 13:45,Hidden,1E,Hidden,5,3,3,5,5,5,Yes,Trying my hands on coding the microbit!,When I am learning about arrays. They are so difficult!,My understanding of arrays and my attentiveness in class.,"Yes, But I have Third Lang or other electives"
3/26/2018 13:45,Hidden,1F,Hidden,5,5,5,5,5,5,Maybe,bonus raw marks for homework,Understanding Coding,should be easier to understand,"Yes, But I have Third Lang or other electives"
3/26/2018 13:45,Hidden,1F,Hidden,4,4,5,5,5,5,Yes,The part where we had to decipher the code,Bonus questions- i do not know how to do them,more CS lessons,"Yes, But I have Third Lang or other electives"
3/26/2018 13:45,Hidden,1f,Hidden,4,3,2,4,5,3,Maybe,Learning to code,Not knowing how to code a programme,Teach us the specific functions of each funtion,"Yes, But I have Third Lang or other electives"
3/26/2018 13:45,Hidden,1F,Hidden,5,4,4,5,5,5,Maybe,learning microbit,NIL,More games with microbit,Maybe
3/26/2018 13:48,Hidden,1F,Hidden,5,4,4,5,5,5,Maybe,the teacher,making the games,more games but easier,Maybe
3/26/2018 13:50,Hidden,1e,Hidden,4,4,4,5,5,5,Maybe,nill,the first few lessons cos i already learnt them,do typing programming instead of blocks,Maybe
3/26/2018 13:50,Hidden,1E,Hidden,3,3,3,5,3,3,Maybe,the part when we can watch utube,the part when we had to stand up,the time we can use utube,Maybe
3/26/2018 19:48,Hidden,1C,Hidden,3,3,3,5,5,5,Maybe,The video,The project ,Place in small groups for the project,Yes
3/29/2018 11:26,Hidden,1I,Hidden,3,2,2,2,3,5,Maybe,Playing Games,The Project,Include more fun games,No
3/29/2018 11:27,Hidden,1I,Hidden,5,3,2,4,5,5,Yes,The project,Learning the uses of the different blocks,more games,No
3/29/2018 11:28,Hidden,1i,Hidden,5,4,3,4,4,4,Maybe,the last few weeks because we got to use our creativity to combine everything we learnt.,the first 2 or 3 lessons because computer science is completely new to me and it was hard to get my head around some of the concepts.,nothing. the class is very good,Maybe
3/29/2018 11:28,Hidden,1I,Hidden,4,3,3,3,5,2,Maybe,Programming the game at the end of the course,Learning about arrays because it was slightly confusing,Not all the students understood all of the concepts taught. The students could be quizzed to see if they really understood the concept or not.,Maybe
3/29/2018 11:29,Hidden,1I,Hidden,4,3,4,5,4,4,Yes,hands-on tasks,using arrays,nil,No
3/29/2018 11:30,Hidden,1J,Hidden,5,4,3,5,4,5,Yes,Group work/games,When I had no idea what we were supposed to do after the teacher taught us,More free time after doing our work?,Maybe
3/29/2018 11:30,Hidden,1J,Hidden,4,3,2,3,3,5,Maybe,The last few lessons were less stressful because there were more time to do our projects. ,The difficult functions (arrays),"More fun stuff, more games",No
